ID	Version	Name	AssemblyFileName	IsMain	OptimisticLockField
1		WDD		-1	9
2	8.3.10.5595	SystemModule	DevExpress.ExpressApp.v8.3.dll	0	1
3	8.2.6.4846	SystemWindowsFormsModule	DevExpress.ExpressApp.Win.v8.2.dll	0	0
4	1.0.4571.19446	WDDModule	WDD.Module.DLL	0	5
5	1.0.3230.831	WDDWindowsFormsModule	WDD.Module.Win.dll	0	0
6	8.3.10.5595	ValidationModule	DevExpress.ExpressApp.Validation.v8.3.dll	0	1
7	8.3.10.5595	BusinessClassLibraryCustomizationModule	DevExpress.ExpressApp.Objects.v8.3.dll	0	1
8	8.2.6.4846	ValidationWindowsFormsModule	DevExpress.ExpressApp.Validation.Win.v8.2.dll	0	0
9	8.3.10.5595	SecurityModule	DevExpress.ExpressApp.Security.v8.3.dll	0	1
10	8.3.10.5595	SystemAspNetModule	DevExpress.ExpressApp.Web.v8.3.dll	0	1
11	8.3.10.5595	FileAttachmentsAspNetModule	DevExpress.ExpressApp.FileAttachment.Web.v8.3.dll	0	1
12	1.0.4571.19447	WDDAspNetModule	WDD.Module.Web.DLL	0	6
