Oid	Authors	Description	Comment	Year	UserId	Title	Type	Title2	Title3	Date2	Jourfull	Jourab	Pubcity	Publisher	Availability	Pubaddress	SN	Printst	Volume	Issue	Page1	Page2	Url	Keywords	OptimisticLockField	GCRecord
{9D773EF5-E522-4527-A404-00297A952B91}	J. Vanhara			1982	293	The moravian species of flat footed flies (Diptera, Opetiidae and Platypezidae)	0				Folia prirodoved. fak. UJEP Brne.								23		137-142				0	
{3B74121B-C819-4EDA-897B-0066CA6E52E1}	P. Ma_an			1998	4221	Ameroseius fungicolis sp. n. and A. callosus sp. n., two new ameroseiid species (Acarina, Mesostigmata) associated with wood-destroying fungi	0				Biologia Bratislava								53	5	645-649				0	
{36A39A57-191F-4867-B0CF-00F1E245CCDC}	J. J.  Kieffer			1894	304	Ueber die Heteropezinae	0				Wiener Entomologische Zeitung								13		200–212, pl. I				0	
{E340D95F-8B42-48DC-A914-010C78D16106}	Graham E. Rotheray			1990	75	Larval and puparial records of some hoverflies associated with dead wood (Diptera, Syrphidae)	0				Dipterists Digest								7		2-7				0	
{433AA25D-2DD8-4D65-917B-022241989EEC}	E Séguy			1934	125	[Diptera (Brachycéres) (Muscidae, Acalypterae and Scatophagidae)]	0				Faune de France								28		1-832				0	
{22143D16-C851-4038-9149-032BAF78FC2A}	L.A. Bogatyreva			1979	210	[New records of insects inhabiting fruiting bodies of basidial macrofungi in birch- and birch-aspen forests of taiga zone of Western Siberia] In Russian	0				Tomsk. 5 p.  A manuscript referred in VINITI records 08.10.1979, N3511-79.														0	
{3EA8EF5A-73B2-4B52-98A5-03AFC9D06C0B}	"H. Burla;G. Bachli"			1968	229	[Contributions to the knowledge of Swiss Diptera, particularly Drosophila species, developing in fruit-bodies of mushrooms]	0				Vierteljahreschr. Naturforsch. Ges. Zurich								113		311-336				0	
{244D8119-3462-4FAC-8459-03E732C4FBC5}	T. R. Nielsen			1992	66	On the syrphid genera Brachyopa Meigen and Hammerschmidtia Schummel (Diptera) in Norway	0				Fauna Norvegica, Ser. B								39		39-43				0	
{30F77DE0-059D-4034-B0EE-0450D4A814A9}	Dariusz J. Gwiazdowicz			1999	4214	Mites (Acari, Gamasida) occurring in the tree-hollows in the Bialowe_a National park	0				Forestry								2		47-55				0	
{C0F4065E-9F25-4D7A-B2AF-049AD23CE59D}	P.J. Chandler			1973	98	Some Diptera and other insects associated with decaying elms (Ulmus procera Salisbury) at Bromley, Kent, with some additional observations on these and related species	0				Entomologist´s Gaz.								24		329-346				0	
{97879187-5C6D-48D2-921C-04A96FF5FF3E}	E. Möhn			1955	327	Beiträge zur Systematik der Larven der Itonididae (=Cecidomyiidae, Diptera) 1. Teil: Porricondylinae und Itonidinae Mitteleuropas	0				Zoologica								105	(1&2)	1–247, 30 pls				0	
{5D1AE6AB-FABE-4A25-B259-05446C69D741}	Zohong-Qi Yang			1984	134	Notes on the larva and puparium of Odinia xanthocera Collin (Diptera, Odiniidae)	0				Annales Entomologici Fennici								50		93-94				0	
{410E368C-B59E-4069-9BC2-05697E5A7414}	W. Hennig			1964	155	Muscidae	0				Die Fliegen der palearktischen Region								7:2		1-2				0	
{7CD99AC9-1298-4D7E-937E-057E4AAE34AF}	H. Schuhmacher			1968	74	[The howerfly fauna in Raum Heidelberg]	0				Beitr. naturk. Forsch. SüdwDtl								27		101-108				0	
{25110DD7-0763-4EDA-BAE6-064A38D576E5}	"John C. Moser;H. H. Eidmann;J. R. Regnander"			1989	4250	The mites associated with Ips typographus in Sweden	0				Annales Entomologici Fennici								55		23-27				0	
{E2AA3378-9452-4D88-A1CC-0695D99625D9}	"Jenö Kontschán;Ineta Salmane"			2005	4215	Data about the Uropodina Mites (Acari, Mesostigmata) of Latvia	0				Latvijas Entomologs								42		77-80				0	
{EE4F596C-E8F2-4B08-A05C-06C75A035DB0}	"N.P. Krivosheina;B.M. Mamajev"			1967	219	[Handbook for the identification of Diptera larvae living in dead wood]  In Russian	0														367 pp.				0	
{E50ACB57-4CDB-4542-962E-078A1BFB0957}	A. Brauns			1954	228	[Terrestrial Dipteralarvae. Investigations for applied soil biology]	0												Vol. 1		179 pp.				0	
{7DBE686C-38FD-4002-B51B-079FA6283C7D}	P. Riel			1921	286	Les insectes parasites des champignons. I. Elevage et premiere liste des Dipteres fongicoles	0				Ann. Soc. Linn. Lyon								67		37-44				0	
{74DF045A-F4D5-43E8-8D85-07F7358516D2}	J.E. Collins			1951	105	The British species of the genus Palloptera Fallén (Diptera)	0				Entomologist's Record and Journal of Variation								63 (supplement no. 5)		1-6				0	
{98EE1F68-53F9-4D50-A4EF-0825F22E4667}	P.J. Chandler			1975	99	Notes on the British status of three unusual acalypterate flies (Diptera)	0				Proc. Brit. Ent. Nat. Hist.								8		66-72				0	
{65801A8D-6D19-4F11-B312-08E948253CD5}	"Halvor Solheim;B. Långström"			1991	6001	Blue-stain fungi associated with Tomicus piniperda in Sweden and preliminary observations on their pathenogenicity	0				Ann. Sci. For.								48		149-156				0	
{B1C8FEB5-B12D-4CDA-81CE-08F6CBF7253A}	"Z. Olszanowski;A. Rajski;W. Niedbala"			1996	4338	Oribatida [Catalogus faunae poloniae. Acari. Oribatida]	0				Muzeum i Instytut Zoologii, SORUS										243 pp.				0	
{6F24B186-3F36-4A4A-BC1F-09AB6442884E}	G. Morge			1963	5	[The Lonchaeidae and Pallopteridae from Austria and the neighbouring areas. A revision of the basis of the Linz collection and other Austrian collections. Part 1: The Lonchaeidae]	0				Sonderdrucks aus Naturkundliches Jahrbuch der Stadt Linz										123-312.				0	
{84FA49EF-F8A9-4B11-A245-09B9B2751FBF}	"I. Perry;A. E. Stubbs"			1978	122	Some microhabitats. Dead wood and sap runs	0				A Dipterist´s Handbook										65-73				0	
{AA79413D-CDD3-4FF6-9165-09D862DF72B5}	K.G.V. Smith			1989	514	An introduction to the immature stages of British flies	0				Handbooks for the identification of British insects								10 (14)		280				0	
{E5E0F475-8A6C-4DA2-90D2-09ED43055544}	"J. Wi_niewski;W. Hirschmann"			1990	4353	[New Nenteria-Arten (Acarina, Uropodina) from Kamerun, Kuba, New Guinea and Polen]	0				Annales Zoologici (Warsaw)								43		441-460				0	
{1C538EC9-B7EB-4C7F-9C27-0A8F96700BD2}	A. Dely-Draskovits			1972	245	[Systematic and ecological investigations of the flies infesting mushrooms in Hungary. 3 Anthomyiidae, Muscidae(Diptera)]	0				Ann. Hist.-Natur. Mus. Nat. Hung.								64		323-329				0	
{AD0F327C-6006-4FFD-9576-0B66D81D00A1}	"John C. Moser;R. C. Wilkson;E. W. Clark"			1974	4273	Mites associated with Dendroctonus frontalis Zimmermann (Scolytidae, Coleoptera) in Central America and Mexico	0				Turrialba								24		379–381				0	
{72F4A0E4-DC12-4CA2-B115-0BA219F16E9F}	"John C. Moser;Heino Konrad;Thomas Kirisits;Lynn K. Carta"			2005	4236	Phoretic mites and nematode associates of Scolytus multistraitus and Scolytus pygmaeus (Coleoptera: Scolytidae) in Austria	0				Agricultural and Forest Entomology								7		169-177				0	
{67A3DCCD-4D90-414E-8CE8-0BE141C2CC5E}	L. Czerny			1930	241	Clythiidae (Platypezidae)	0				Fliegen Paläarkt. Region								4, Fasz. 34		1-29				0	
{2798D5DE-0EA0-47CE-AA5C-0C58F9043585}	"Mats Jonsell;Göran Nordlander"			2002	148	Insects in polypore fungi as indicator species: a comparison between forests sites differing in amounts and continuity of dead wood	0				Forest Ecology and Management								157		101-118				0	
{B4569C49-06B2-4300-B66D-0CFBCFED675C}	A. Edler			1972	4286	Ectoparasitic mites (Acarina) from small mammals in southern Sweden	0				Entomologisk Tidskrift								93		1-3				0	
{52317079-6C77-43C3-AA8B-0DC2353860D8}	B. M. Mamaev			2002	323	New species of gall midges of the genus Winnertzia Rond. developing in tissue of fruit bodies of wood fungi (Diptera, Cecidomyiidae)	0				All–Russian Institute of Continuous Education in Forestry, Pushkino								20		1–12				0	
{9B4C3F8D-F413-4D35-A4E4-0E119CD01181}	B. M.  Mamaev			2001	319	Gall midges of the genus Winnertzia Rond. from the group with unarmed gonostyle (Diptera, Cecidomyiidae)	0				All–Russian Institute of Continuous Education in Forestry, Pushkino								19		1–7				0	
{E71F2A06-B691-4234-A497-0E766250BE88}	FMNH				39	Museum voucher of Lonchaea fraxina.	0																		0	
{65B11690-F07F-4410-B376-0ECA19C36757}	"B. Kielczewski;S. Balazy"			1966	4366	"[A problem of mite predation (Acarina) on the eggs of bark beetles (Scolytidae; Coleoptera)]"	0				Ekol. Pol. Ser. B								12		161-163				0	
{4DEC6EEC-1F26-4629-A72E-0F581EA43918}	"E. Brunel;D. Cadou"			1994	76	Syrphid larvae (Diptera, Syrphidae) mining the roots of artichoke (Cynara scolymus, L.) in Brittany.	0				Dipterists Digest								1		69-71				0	
{DA7B7D23-462D-4100-8F4D-10856A927D29}	I. Westerboer			1963	4282	Die Familie Podocinidae Berlese, 1916	0				Beiträge zur Systematik und Ökologie Mitteleuropäischer Acarina)														0	
{F85577D2-4AF8-404D-80DE-10A84E09E37D}	W.  Hirschmann			1960	4267	Die Gattung Dendrolaelaps Halbert, 1915	0				Acarologie								3						0	
{133018C0-2CE3-46C1-8CB8-111B054EBE59}	C.E. Dyte			1959	522	Some interresting habitats of larval Dolichopodidae (Diptera)	0				Entomol. Mon. Mag.								95		139-143				0	
{3499F37A-81CC-489C-856F-1178B0E37D47}	L. Falcoz			1921	256	[Notes about different fungicolous insects]	0				Misc. Entomol.								25		57-62				0	
{16B339CD-72E5-4D24-A75A-11B736BADC7B}	H. J. Rust			1933	4370	Many bark beetles destroyed by predaceous mite	0				J. Econ. Entomol.								26	3	733-734				0	
{2936F30B-445B-4FDC-9B6D-129EA88F5A9A}	I.J. Wyatt			1964	297	Immature stages of Lestremiinae (Diptera, Cecidomyiidae) infesting cultivated mushrooms	0				Transactions Entomological Society of London								116		15-28				0	
{00BF910E-20F3-4795-89DB-13D02F41A5A8}	V.G. Kovalev			1981	41	On European species of the group Lonchaea peregrina (Diptera, Lonchhaeidae).	0				Zoologicheskii Zhurnal								60		221-228				0	
{AE2D42FA-7CB3-47BA-9762-1409F9CD61FB}	"B. M. Mamaev;A. I.  Zaitzev"			1998	324	New species of gall midges of formerly monotypic genera (Diptera, Cecidomyiidae: Porricondylinae)	0				International Journal of Dipterological Research								9		85–89				0	
{B7907F11-DC4F-4062-B4B7-141C1552207B}	"Hans Bartsch;T. R. Nielsen;Martin C.D. Speight"			2002	165	Reappraisal of Xylota caeruleiventris Zetterstedt, 1838, with remarks on the distribution of this species and X. jakutorum Bagatshanova, 1980 in Europe	0				Volucella								6		69-79				0	
{9CA2FE78-3349-4FDB-A3B9-15AEE0A9FD84}	Stanis_aw Ba_azy			1966	3304	Living organisms ar regulators of bark beetle populations in spruce stands with special regards to entomopathogenic fungi	0				Prace Komisji Nauk Rolniczych i Le_nych								XXI	1	3-50				0	
{431B19C2-7C87-46F8-B3F0-15F3BC850CF2}	Nicklas Jansson			2007	348	[The saproxylic beetle fauna in two localities with old nemoral trees on Gotland]	0				Rapporter om natur och miljö									2007: 9	1-38				0	
{A6F6074E-BC59-48E5-BBE8-166BE8ADD81D}	"W. L. Magowski;A. D. Palma;A. A. Khaustov"			1998	4247	Ununguitarsonemus rarus (Acari: Tarsonemidae), a new species of mite associated with bark beetles from Crimae, Ukraine	0				Entomologica, Bari								32		139-151				0	
{68AC689A-ADFA-4359-B410-17047E8BFDBC}	Jonty Denton			2000	31	Notes on some Notable Diptera found in England in 1998-1999.	0				Dipterists Digest								7		30-31				0	
{C8C688F8-2BC9-4C10-BC53-171B27DD433D}	B. M.  Mamaev			2001	320	The tribe Holoneurini in the Palearctic (Diptera, Cecidomyiidae)	0				All–Russian Institute of Continuous Education in Forestry, Pushkino								17		1–11				0	
{532ACD90-3398-4AB8-BE62-172243B57FFC}	David Horsfield			2000	32	A rearing record of Rocetelion humerale (Zetterstedt) (Diptera, Keroplatidae) from the Black Isle, Scotland.	0				Dipterists Digest								7		31-32				0	
