Oid	Name	OptimisticLockField	GCRecord	ObjectType
{836CB1C2-B26D-48CE-8803-00BC239483C2}	Public	1	2078066800	2
{301028C5-1FF3-4004-945A-09A0ABDD3B5B}	UserWGparticipant	0		2
{DCB30469-012C-474D-B572-138ADA82C9A4}	Admin	0		2
{F37146AD-9F4F-48F6-A541-172518FB9C77}	Public	1	598516029	2
{A0C38D89-97F4-4DB8-8735-2058C1A7D437}	Public	1	907872017	2
{2CD4723C-D83F-4636-B3BE-2E2FCFF5D79B}	UserWGparticipantTaxonomyGeography	0		2
{3B7885BF-FD17-442E-93D1-3356254875C8}	Public	1	957249783	2
{22A47EDC-51A3-4F60-9411-33D9A478642A}	Public	1	1651848088	2
{2F6069C7-8C1E-4A97-8C7D-4D864F94A9C3}	Public	1	261780517	2
{9C742FC1-6268-4B92-A5A6-600B28449B4A}	Public	0		2
{3BF46D2D-7A72-4339-BB7C-61C0C4CD6FDC}	Public	1	2125623164	2
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	UserOrdinary	19		2
{A0150B1B-23AC-4364-82C5-8EE788774319}	Public	1	293164399	2
{4D90DC96-700A-4AFA-9F2B-AC8DE910CAD3}	Public	1	743322191	2
{B520CF3C-F217-46FC-A2BA-B34866367A09}	Public	1	1515615529	2
{E35F256E-430A-4F54-957B-B67A6F7B28D7}	Public	1	838074844	2
{432CCEE8-2BFF-47C7-B91B-C80D875FE447}	Public	1	1356629864	2
{204054CE-9A51-4962-BE81-CF985D917DAE}	Public	1	112152111	2
{AE3B449B-C1E7-48EA-97F6-DC228CCC0A2A}	Public	1	846254578	2
{BD256B87-84B8-4DF5-88D8-DD42CAA753D1}	Public	1	908826382	2
{24686A45-7381-4104-9667-EEA60A834A60}	Public	1	2004870016	2
{218BC84E-9A33-4BE2-9CCC-EED931B5A2D3}	Public	1	1554275612	2
{25BFF7D3-05F0-48C7-A655-FB3C62E3409A}	Public	1	394670865	2
