Oid	Name	Rank	Parent	Kingdom	Phylum	Class	Order	Suborder	Family	Genus	Species	FullName	Author	Year	SaproxylicStatus	Norway	Sweden	Finland	Denmark	Estonia	Latvia	Lithuania	Poland	England	Scotland	France	RealSpecies	SpeciesName	Synonyms	Comment	OtherDistribution	OptimisticLockField	GCRecord	ObjectType
{DCCD2CFE-D002-40AB-B93B-000DD0B62999}	Drosophilidae	{4665ED8F-3734-406C-8987-E01B25E7D917}	{A2ECAD2A-6B0A-4BED-B475-6E27D1BA2275}	{775D6D50-1B93-42CF-9411-9573DDA4CD33}	{ACDD42F9-63A4-4736-A1A3-66A4A515AC23}	{A36FF57C-6577-4E1F-89D2-6788F9273E9F}	{4442B3BF-4756-4258-8AF1-7F5B951346EF}	{A2ECAD2A-6B0A-4BED-B475-6E27D1BA2275}	{DCCD2CFE-D002-40AB-B93B-000DD0B62999}			Drosophilidae		0	0																	0		13
{2F6610B4-7BC7-486F-B877-00484DC6AD2F}	cinnabarinus	{F4EB5A5C-34D0-4849-AC4F-FB2081067DF2}	{1A72333E-92BB-40CC-A1DB-48302794436B}	{BD93BDBC-8F91-44E2-BE59-9772B3EDB4B4}	{3F1C39CD-FBBA-42B0-BC7C-028234A2AF4F}	{F3BD253F-A0C7-440C-A5E0-51ECAA478978}	{D8C4799E-A6B8-43B6-A0AC-7A01408D77FD}	{91B32813-913B-4E34-9B2A-1A46F36EE91D}	{F2E073EF-F4EB-4019-A29A-4B8A776E58EF}	{1A72333E-92BB-40CC-A1DB-48302794436B}	{2F6610B4-7BC7-486F-B877-00484DC6AD2F}	Pycnoporus cinnabarinus		0	2	0	0	0	0	0	0	0	0	0	0	0		Pycnoporus cinnabarinus				0		15
{4548DB36-BDD9-47E3-A869-004B35730C82}	violaceum	{F4EB5A5C-34D0-4849-AC4F-FB2081067DF2}	{F1AEE3B0-8067-4F45-8731-0AF66C79A9B1}	{775D6D50-1B93-42CF-9411-9573DDA4CD33}	{ACDD42F9-63A4-4736-A1A3-66A4A515AC23}	{A36FF57C-6577-4E1F-89D2-6788F9273E9F}	{C199CA77-A762-4E2E-8285-643A62752750}	{808AC383-0D23-4CF9-AD93-B89145E8697B}	{D29825ED-522B-40E9-B433-8D99BD68F5D8}	{F1AEE3B0-8067-4F45-8731-0AF66C79A9B1}	{4548DB36-BDD9-47E3-A869-004B35730C82}	Callidium violaceum	(Linnaeus, 1758)	0	2	2	2	2	2	0	0	0	0	0	0	0		Callidium violaceum				0		15
{0265E110-D6A7-44E0-AE46-004E4474E0ED}	magna	{F4EB5A5C-34D0-4849-AC4F-FB2081067DF2}	{90C91AA3-A9E0-402A-941D-98D85DDBF657}	{775D6D50-1B93-42CF-9411-9573DDA4CD33}	{ACDD42F9-63A4-4736-A1A3-66A4A515AC23}	{A36FF57C-6577-4E1F-89D2-6788F9273E9F}	{4442B3BF-4756-4258-8AF1-7F5B951346EF}	{93B1280A-AC5D-48C8-BBBD-E9CC99F0C7E0}	{AED42834-B131-4F7C-BB80-6F109989413F}	{90C91AA3-A9E0-402A-941D-98D85DDBF657}	{0265E110-D6A7-44E0-AE46-004E4474E0ED}	Cecidomyia magna	(Möhn 1955)	0	0	1	1	1	1	0	0	0	0	0	0	0		Cecidomyia magna	Stelechodiplosis magna			0		15
{694903B6-5CAA-4465-A54F-00589F2DFEEA}	Scopuloides	{62253267-A76C-4326-9948-6A5BD50334C8}	{E9AF8A67-CB8A-432D-B440-BF0EB0CC8B86}	{BD93BDBC-8F91-44E2-BE59-9772B3EDB4B4}	{3F1C39CD-FBBA-42B0-BC7C-028234A2AF4F}	{F3BD253F-A0C7-440C-A5E0-51ECAA478978}	{D8C4799E-A6B8-43B6-A0AC-7A01408D77FD}	{91B32813-913B-4E34-9B2A-1A46F36EE91D}	{E9AF8A67-CB8A-432D-B440-BF0EB0CC8B86}	{694903B6-5CAA-4465-A54F-00589F2DFEEA}		Scopuloides		0	0																	0		13
{53EE9AF1-C9CF-4D69-9057-005D67C99E34}	Rushia	{62253267-A76C-4326-9948-6A5BD50334C8}	{12AAB51B-1EDA-4323-B811-2A0CE75EF2FA}	{775D6D50-1B93-42CF-9411-9573DDA4CD33}	{ACDD42F9-63A4-4736-A1A3-66A4A515AC23}	{A36FF57C-6577-4E1F-89D2-6788F9273E9F}	{C199CA77-A762-4E2E-8285-643A62752750}	{808AC383-0D23-4CF9-AD93-B89145E8697B}	{12AAB51B-1EDA-4323-B811-2A0CE75EF2FA}	{53EE9AF1-C9CF-4D69-9057-005D67C99E34}		Rushia		0	0																	0		13
{9489B4A3-F841-450D-8E62-0069B04CF34D}	meigeniana	{F4EB5A5C-34D0-4849-AC4F-FB2081067DF2}	{8E3ABC79-EC02-4362-A51A-69854EB6B787}	{775D6D50-1B93-42CF-9411-9573DDA4CD33}	{ACDD42F9-63A4-4736-A1A3-66A4A515AC23}	{A36FF57C-6577-4E1F-89D2-6788F9273E9F}	{4442B3BF-4756-4258-8AF1-7F5B951346EF}	{A2ECAD2A-6B0A-4BED-B475-6E27D1BA2275}	{630328E7-4C8F-4722-A400-F81761F08F05}	{8E3ABC79-EC02-4362-A51A-69854EB6B787}	{9489B4A3-F841-450D-8E62-0069B04CF34D}	Xylota meigeniana	Stackelberg 1964	0	2	2	2	2	2	0	0	0	0	0	0	0		Xylota meigeniana				0		15
{CBAA5863-2231-426E-BE82-0073619BE097}	alba	{F4EB5A5C-34D0-4849-AC4F-FB2081067DF2}	{2BE7086C-A9A2-4A8D-9A30-D0F902195236}	{775D6D50-1B93-42CF-9411-9573DDA4CD33}	{ACDD42F9-63A4-4736-A1A3-66A4A515AC23}	{A36FF57C-6577-4E1F-89D2-6788F9273E9F}	{4442B3BF-4756-4258-8AF1-7F5B951346EF}	{93B1280A-AC5D-48C8-BBBD-E9CC99F0C7E0}	{AED42834-B131-4F7C-BB80-6F109989413F}	{2BE7086C-A9A2-4A8D-9A30-D0F902195236}	{CBAA5863-2231-426E-BE82-0073619BE097}	Winnertzia alba	Mamaev 2002	0	2	1	1	1	1	0	0	0	0	0	0	0		Winnertzia alba		Penttinen 2006: Genus Winnertzia is in dire need of a revision, it is currently a horrible mess!!!	Russia (Far East)	0		15
{09B5D00A-C342-4E49-8E53-0075419D6945}	jasonis	{F4EB5A5C-34D0-4849-AC4F-FB2081067DF2}	{3FBB3D14-610F-4256-B36E-CC3014E93771}	{BD93BDBC-8F91-44E2-BE59-9772B3EDB4B4}	{3F1C39CD-FBBA-42B0-BC7C-028234A2AF4F}	{F3BD253F-A0C7-440C-A5E0-51ECAA478978}	{228CBFE6-5582-4244-806D-13765B3DFFB1}	{EFAD9EF5-DE33-47E4-9DE2-C5C4AD707AD8}	{9A09A29C-19D5-41C4-A351-F3EE315CC6C1}	{3FBB3D14-610F-4256-B36E-CC3014E93771}	{09B5D00A-C342-4E49-8E53-0075419D6945}	Cystoderma jasonis		0	2	0	0	0	0	0	0	0	0	0	0	0		Cystoderma jasonis				0		15
{64314D1A-FE3D-4679-90BA-007C61321E80}	Canthyloscelidae	{4665ED8F-3734-406C-8987-E01B25E7D917}	{93B1280A-AC5D-48C8-BBBD-E9CC99F0C7E0}	{775D6D50-1B93-42CF-9411-9573DDA4CD33}	{ACDD42F9-63A4-4736-A1A3-66A4A515AC23}	{A36FF57C-6577-4E1F-89D2-6788F9273E9F}	{4442B3BF-4756-4258-8AF1-7F5B951346EF}	{93B1280A-AC5D-48C8-BBBD-E9CC99F0C7E0}	{64314D1A-FE3D-4679-90BA-007C61321E80}			Canthyloscelidae		0	0																	0		13
{9672BFD1-1DE2-4FA1-8D9D-007E6FD8EF1E}	capitatum	{F4EB5A5C-34D0-4849-AC4F-FB2081067DF2}	{48BB4FCB-6C11-4ED9-8075-9F0CC437608A}	{BD93BDBC-8F91-44E2-BE59-9772B3EDB4B4}	{3F1C39CD-FBBA-42B0-BC7C-028234A2AF4F}	{F3BD253F-A0C7-440C-A5E0-51ECAA478978}	{D8C4799E-A6B8-43B6-A0AC-7A01408D77FD}	{91B32813-913B-4E34-9B2A-1A46F36EE91D}	{08563817-486B-46BE-B344-635C85FFE23B}	{48BB4FCB-6C11-4ED9-8075-9F0CC437608A}	{9672BFD1-1DE2-4FA1-8D9D-007E6FD8EF1E}	Hyphoderma capitatum		0	2	0	0	0	0	0	0	0	0	0	0	0		Hyphoderma capitatum				0		15
{6089243C-ED86-4F3B-BDEA-008DE5A848F7}	oreades	{F4EB5A5C-34D0-4849-AC4F-FB2081067DF2}	{E4453516-5631-4026-B1BC-6D9BD3759D63}	{BD93BDBC-8F91-44E2-BE59-9772B3EDB4B4}	{3F1C39CD-FBBA-42B0-BC7C-028234A2AF4F}	{F3BD253F-A0C7-440C-A5E0-51ECAA478978}	{228CBFE6-5582-4244-806D-13765B3DFFB1}	{EFAD9EF5-DE33-47E4-9DE2-C5C4AD707AD8}	{F1B9DC62-8AB5-4276-87B6-E5AC0586538F}	{E4453516-5631-4026-B1BC-6D9BD3759D63}	{6089243C-ED86-4F3B-BDEA-008DE5A848F7}	Marasmius oreades		0	0	0	0	0	0	0	0	0	0	0	0	0		Marasmius oreades				0		15
{5A7F09F9-0889-462F-A0BC-00940B348F81}	pulchra	{F4EB5A5C-34D0-4849-AC4F-FB2081067DF2}	{B26A22B8-F3E2-4A51-9339-78A2A746C164}	{775D6D50-1B93-42CF-9411-9573DDA4CD33}	{ACDD42F9-63A4-4736-A1A3-66A4A515AC23}	{A36FF57C-6577-4E1F-89D2-6788F9273E9F}	{C199CA77-A762-4E2E-8285-643A62752750}	{808AC383-0D23-4CF9-AD93-B89145E8697B}	{26449392-5F23-4C55-BB69-10A2267F27BA}	{B26A22B8-F3E2-4A51-9339-78A2A746C164}	{5A7F09F9-0889-462F-A0BC-00940B348F81}	Atomaria pulchra	Erichson, 1846	0	2	2	2	2	1	0	0	0	0	0	0	0		Atomaria pulchra				0		15
{C408E987-D206-49C7-84D1-0098E0A0721C}	Robinia	{62253267-A76C-4326-9948-6A5BD50334C8}	{80D5BCF6-9878-4C99-B225-8540DD135E68}	{B8B18898-F17D-4346-8EC2-7663727141EF}	{9B6C9E05-8358-4C94-936D-AA5B60D2AEDB}	{4BEB2961-A509-4575-8F03-1FB00C9235F6}	{62569E5F-0E62-4D70-88D3-027F82CE8582}	{13584ED8-3FBF-4C20-A199-9BBDFEFE92A0}	{80D5BCF6-9878-4C99-B225-8540DD135E68}	{C408E987-D206-49C7-84D1-0098E0A0721C}		Robinia		0	0																	0		13
{1AD3B1A8-7012-462A-BCAC-00A315A9065D}	valgus	{F4EB5A5C-34D0-4849-AC4F-FB2081067DF2}	{407EB2D4-C3FC-4273-AEB2-20F4BACA7C29}	{775D6D50-1B93-42CF-9411-9573DDA4CD33}	{ACDD42F9-63A4-4736-A1A3-66A4A515AC23}	{A36FF57C-6577-4E1F-89D2-6788F9273E9F}	{4442B3BF-4756-4258-8AF1-7F5B951346EF}	{A2ECAD2A-6B0A-4BED-B475-6E27D1BA2275}	{630328E7-4C8F-4722-A400-F81761F08F05}	{407EB2D4-C3FC-4273-AEB2-20F4BACA7C29}	{1AD3B1A8-7012-462A-BCAC-00A315A9065D}	Brachypalpus valgus		0	2	1	1	1	1	0	0	0	0	0	0	0		Brachypalpus valgus			Not Nordic	0		15
