Roles	Users	OID	OptimisticLockField
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{7A366F14-DB4C-4B0A-BB57-F733B2B866A0}	{29124D37-706D-40B2-8942-004EF31622CC}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{3503AA61-1C4E-4259-B5E3-F8285BC022F0}	{9F3A6E9A-0272-46FD-822A-00FD5E68B1D7}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{1DAEC9AF-F59E-40DA-B799-AA8FE8A5024A}	{E24E4C82-A72A-464B-9170-011E3BAE208E}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{EEA0F698-A91C-4E0D-9772-84FFE4D26F52}	{A61FA349-0809-4B6B-BA6D-0151FE188A1A}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{6B1B6920-4A76-4A7D-9D66-4F0ED364B44E}	{EAF35328-DC26-484F-94D7-018DBB2EAF68}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{0048B322-5611-4E67-B970-42126DA5FA94}	{74A887BA-ABCD-4888-A178-019953A8A204}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{82F20B6D-186C-4738-985D-4259C324B570}	{B3C302C5-E791-4C13-B365-0240CEDDE7C5}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{1C42A0AF-AB5F-4E6F-A5C5-9B5E8E9EE566}	{67FF1C96-1B4E-4C75-BBD4-036AFF255AE0}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{DCC1593E-DF8D-481D-AE87-FD72E83B5372}	{4D4C8017-8B82-4FF8-8307-04ABE5978B05}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{052D2222-DDAF-41C4-9D88-CD83FE790A2A}	{9BFFD28D-3476-4F53-8F10-0690EC768B73}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{FEBFEE8C-9453-4A4E-B0BB-D1354969872B}	{E790A48F-7AAC-4F21-9DE4-06F0053F15A3}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{2A9D75D2-48E1-4167-9C1F-07EEE0F3D784}	{19582A8A-9AC6-423F-B163-07B049A9B9D1}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{BF0DCF7C-E0AF-43B6-9987-8A6822CA6FBD}	{49F3075E-30CE-414F-9EBB-094B5BC8D113}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{DEE604E7-B4C5-42A2-A716-97ED1AAEE48D}	{B73A386A-411C-447E-9DBE-0A401C680C4F}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{091E3976-B7AA-4AC1-914A-1471173E2233}	{6FA868AB-3DB4-49D6-BE5E-0B330D82F9B8}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{A8DFA64E-D8C0-4832-A0B5-10D8EA8363F3}	{D6D6274C-6F99-49E8-9104-0BAB7B3919B9}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{2007B833-A33F-42E8-8064-B3C6CF876493}	{1FA27479-6EA7-47D0-B313-0C1D3D74FCBC}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{19E7FD57-52B3-437B-833C-7E06FD0223B4}	{2E9D6571-787F-43E6-91A1-0CCAAB40FD6F}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{A7CED157-7489-4A35-B2A5-EACCF17E4E35}	{7B984DAA-CC36-4F5E-8E23-0CD6CA0A8997}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{B08B26C2-2702-43BF-BEE3-FD099F01B792}	{1B66743F-0295-4424-B27F-0D657DC77D2D}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{B35E8DF1-3F13-4D7A-9FF2-02FD37C01C47}	{A654AC65-D6CB-456F-B859-113BBADACA35}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{0D7BF8FF-7D61-44D8-9B5F-5BC6EE79B2BC}	{8083294E-D56C-400C-BD6B-11673ADFB372}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{197D3162-ED63-4CE9-828A-D99A39749971}	{222EAA7E-53D2-422D-811C-121A4C6403B4}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{E17B42B7-3E02-474B-A22C-9A8739B0EB9A}	{E20F336E-D4E1-4B74-A14B-1350250CF83A}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{1703DDA6-9A8D-4B4E-9E00-87724178E758}	{D5C8D643-CECF-4639-9E58-13F02C9199D9}	0
{4ED23831-C635-4A16-B3A4-7246B90BF32D}	{0A68A996-4A8F-4B8D-AFD4-27BD14EA9D4A}	{7C5D6528-AF88-4FB5-96D6-15E9D9C677D1}	0
