Oid	WoodAttributeCategory	Name	Abbreviation	SortOrder	OptimisticLockField	GCRecord
{21F810E1-71FD-401F-BB54-02F8CC748914}	{B7C562ED-F810-4AE7-987E-EB68CE312DFC}	shady		59	4	
{53B4F664-8139-4905-ADC9-0B8FC30C73A5}	{B7C562ED-F810-4AE7-987E-EB68CE312DFC}	in soil		62	4	
{176E7DDC-2E9A-43CC-846C-0D157F4427D7}	{05B8E79C-B46E-4D33-BCE6-A21AE9B74BC2}	overmature tree		49	4	
{6CFB3D97-48DB-4E55-B916-0E926EFB91CF}	{765A7125-C315-4516-8965-C3D857D8EFA4}	general		1	4	
{C42878ED-8732-4705-85A2-14E2C0EF984A}	{05B8E79C-B46E-4D33-BCE6-A21AE9B74BC2}	logging waste		54	4	
{3CB6A249-16ED-420A-92F1-163262E2532A}	{747AC562-46DC-4EE3-9324-1F7920D872A3}	20-40 cm		17	4	
{7F305608-FB06-41B9-8550-19EDE3C97FA0}	{05B8E79C-B46E-4D33-BCE6-A21AE9B74BC2}	other modified wood		56	4	
{62B848BF-A55D-4CF6-B3CF-22A32432CC37}	{36A6F0E1-D1CF-4B3D-8F8E-907C7375FF95}	branch		34	4	
{78C8968C-F226-4314-B2BA-30AFA8AF1056}	{06C8D1DA-AE5F-403D-8B77-591C328E4063}	charred wood		32	4	
{B7502512-9BFC-4856-8BF1-30B690F9A201}	{7B25453D-E8E3-4E89-81FB-17F838E8A518}	decay 01		5	4	
{43EFD777-7625-4BF2-A401-38DCB17137C6}	{06C8D1DA-AE5F-403D-8B77-591C328E4063}	under bark		23	4	
{11DF2654-B023-4949-A693-3F155B7266FF}	{02C24C97-2115-40F2-8CCE-E0468067106A}	Natural forest		73	4	
{88992A13-572B-4AE6-A013-4A4F8A4EB3EC}	{B7C562ED-F810-4AE7-987E-EB68CE312DFC}	moist ground		61	4	
{B2970F74-EB36-49E6-B775-556037E666B8}	{747AC562-46DC-4EE3-9324-1F7920D872A3}	< 1 cm		13	4	
{AA42406E-D8AA-4708-9AD3-57EC42596211}	{36A6F0E1-D1CF-4B3D-8F8E-907C7375FF95}	trunk		37	4	
{A941820F-CF11-404B-962E-584495EE82BE}	{B24571D7-4CE4-472A-9403-38AD03C28338}	broad-leaved		3	4	
{4EEF9927-5412-489E-A393-58AACEF6EE93}	{7B25453D-E8E3-4E89-81FB-17F838E8A518}	decay 3		8	4	
{4ADF6507-5712-4263-9819-593275CAC0F5}	{B7C562ED-F810-4AE7-987E-EB68CE312DFC}	dry ground		60	4	
{BB86C691-D86A-48E4-933E-5D1A4FAB9D1C}	{06C8D1DA-AE5F-403D-8B77-591C328E4063}	rot hole		30	4	
{80F6EA17-831C-408A-BD09-61CB86A875EE}	{36A6F0E1-D1CF-4B3D-8F8E-907C7375FF95}	fallen branch		36	4	
{A2D837C5-63AB-456E-9179-6B13B720499B}	{7B25453D-E8E3-4E89-81FB-17F838E8A518}	decay 2		7	4	
{FB8608F9-D2F7-466E-A1A4-6FB62F146598}	{05B8E79C-B46E-4D33-BCE6-A21AE9B74BC2}	lying dead		51	4	
{599213C7-CD88-44EB-BBB0-6FDFF3325756}	{36A6F0E1-D1CF-4B3D-8F8E-907C7375FF95}	trunk base		38	4	
{278849FF-AD98-438F-8901-71396D1D1019}	{7B25453D-E8E3-4E89-81FB-17F838E8A518}	white rot		12	4	
{2FD1C561-8291-46A5-B889-721D85DD5E10}	{05B8E79C-B46E-4D33-BCE6-A21AE9B74BC2}	building		55	4	
{8B8D68C4-81DB-4414-A506-741717B4FBE9}	{B7C562ED-F810-4AE7-987E-EB68CE312DFC}	freshwater		63	4	
{48313CEA-81CF-4E3D-9DED-773D9D66D10A}	{36A6F0E1-D1CF-4B3D-8F8E-907C7375FF95}	root		39	4	
{568D5E2F-3BF5-49EC-B251-7AE90CF007C8}	{3A6C5437-EF23-4BFB-B258-DC9C3B4FD874}	died slowly		41	4	
