Oid	Name	SortOrder	OptimisticLockField	GCRecord
{7B25453D-E8E3-4E89-81FB-17F838E8A518}	+	2	4	
{747AC562-46DC-4EE3-9324-1F7920D872A3}	Diameter	3	4	
{B24571D7-4CE4-472A-9403-38AD03C28338}	Host tree	1	4	
{06C8D1DA-AE5F-403D-8B77-591C328E4063}	Microhabitat	4	4	
{36A6F0E1-D1CF-4B3D-8F8E-907C7375FF95}	Microhabitat position	5	4	
{05B8E79C-B46E-4D33-BCE6-A21AE9B74BC2}	Wood type	7	4	
{765A7125-C315-4516-8965-C3D857D8EFA4}	NonSX	0	4	
{3A6C5437-EF23-4BFB-B258-DC9C3B4FD874}	Mortality	6	4	
{02C24C97-2115-40F2-8CCE-E0468067106A}	Biotope	9	4	
{B7C562ED-F810-4AE7-987E-EB68CE312DFC}	Environment	8	4	
