OID	TypeName	AssemblyName
1	WDD.Module.SXSpeciesList	WDD.Module
2	DevExpress.Persistent.BaseImpl.Role	DevExpress.Persistent.BaseImpl.v8.1
3	DevExpress.Persistent.BaseImpl.PersistentPermission	DevExpress.Persistent.BaseImpl.v8.1
4	DevExpress.Persistent.BaseImpl.User	DevExpress.Persistent.BaseImpl.v8.1
5	UserUsers_RoleRoles	
6	WDD.Module.SXWoodAttributeValues	WDD.Module
7	WDD.Module.SXWoodAttributeValuesSummary	WDD.Module
8	WDD.Module.SXAssociatedSpecies	WDD.Module
9	WDD.Module.SXFunctionalRoles	WDD.Module
10	WDD.Module.SXFunctionalRolesSummary	WDD.Module
11	DevExpress.Persistent.BaseImpl.BasicUser	DevExpress.Persistent.BaseImpl.v8.1
12	WDD.Module.Reference	WDD.Module
13	WDD.Module.Taxon	WDD.Module
14	WDD.Module.TaxonRank	WDD.Module
15	WDD.Module.Species	WDD.Module
16	WDD.Module.Occurrence	WDD.Module
17	WDD.Module.Locality	WDD.Module
18	WDD.Module.WoodAttributeCategory	WDD.Module
19	WDD.Module.WoodAttribute	WDD.Module
20	WDD.Module.OccurrenceWoodAttribute	WDD.Module
21	WDD.Module.AssociationRole	WDD.Module
22	WDD.Module.SX_Association	WDD.Module
23	WDD.Module.Comment	WDD.Module
24	OccurrenceWoodAttributeWoodAttributeValues_CommentComments	
25	WDD.Module.SXSearchAssociations	WDD.Module
